FID	IID	Trait	Pop	PGS
HG03132	HG03132	ieu-b-4813	AFR	-969.985
HG03133	HG03133	ieu-b-4813	AFR	-303.784
HG03135	HG03135	ieu-b-4813	AFR	-674.342
HG03136	HG03136	ieu-b-4813	AFR	1094.79
HG03139	HG03139	ieu-b-4813	AFR	43.7977
HG03157	HG03157	ieu-b-4813	AFR	85.0961
HG03159	HG03159	ieu-b-4813	AFR	487.616
HG03160	HG03160	ieu-b-4813	AFR	-93.3247
HG03162	HG03162	ieu-b-4813	AFR	-102.385
HG03163	HG03163	ieu-b-4813	AFR	10.606
HG03166	HG03166	ieu-b-4813	AFR	81.6762
HG03168	HG03168	ieu-b-4813	AFR	-603.029
HG03169	HG03169	ieu-b-4813	AFR	399.756
HG03172	HG03172	ieu-b-4813	AFR	775.943
HG03175	HG03175	ieu-b-4813	AFR	1193.85
HG03189	HG03189	ieu-b-4813	AFR	46.9236
HG03190	HG03190	ieu-b-4813	AFR	-517.002
HG03193	HG03193	ieu-b-4813	AFR	550.12
HG03195	HG03195	ieu-b-4813	AFR	1008.08
HG03196	HG03196	ieu-b-4813	AFR	-596.712
HG03198	HG03198	ieu-b-4813	AFR	139.254
HG03199	HG03199	ieu-b-4813	AFR	-346.791
HG03202	HG03202	ieu-b-4813	AFR	282.79
HG03209	HG03209	ieu-b-4813	AFR	656.017
HG03212	HG03212	ieu-b-4813	AFR	188.213
HG03224	HG03224	ieu-b-4813	AFR	-377.575
HG03225	HG03225	ieu-b-4813	AFR	-141.098
HG03240	HG03240	ieu-b-4813	AFR	230.095
HG03241	HG03241	ieu-b-4813	AFR	-997.472
HG03246	HG03246	ieu-b-4813	AFR	-684.536
HG03247	HG03247	ieu-b-4813	AFR	-973.249
HG03258	HG03258	ieu-b-4813	AFR	367.704
HG03259	HG03259	ieu-b-4813	AFR	-537.126
HG03265	HG03265	ieu-b-4813	AFR	-178.443
HG03267	HG03267	ieu-b-4813	AFR	-778.212
HG03268	HG03268	ieu-b-4813	AFR	795.077
HG03270	HG03270	ieu-b-4813	AFR	450.044
HG03271	HG03271	ieu-b-4813	AFR	678.314
HG03279	HG03279	ieu-b-4813	AFR	226.259
HG03280	HG03280	ieu-b-4813	AFR	-151.552
HG03291	HG03291	ieu-b-4813	AFR	225.541
HG03294	HG03294	ieu-b-4813	AFR	-352.158
HG03295	HG03295	ieu-b-4813	AFR	45.1575
HG03297	HG03297	ieu-b-4813	AFR	-340.12
HG03298	HG03298	ieu-b-4813	AFR	111.534
HG03300	HG03300	ieu-b-4813	AFR	672.758
HG03301	HG03301	ieu-b-4813	AFR	172.429
HG03303	HG03303	ieu-b-4813	AFR	5.71938
HG03304	HG03304	ieu-b-4813	AFR	-135.419
HG03311	HG03311	ieu-b-4813	AFR	-132.557
HG03313	HG03313	ieu-b-4813	AFR	218.85
HG03342	HG03342	ieu-b-4813	AFR	623.651
HG03343	HG03343	ieu-b-4813	AFR	716.841
HG03351	HG03351	ieu-b-4813	AFR	625.127
HG03352	HG03352	ieu-b-4813	AFR	18.4546
HG03354	HG03354	ieu-b-4813	AFR	-568.976
HG03363	HG03363	ieu-b-4813	AFR	-335.26
HG03366	HG03366	ieu-b-4813	AFR	234.239
HG03367	HG03367	ieu-b-4813	AFR	-227.421
HG03369	HG03369	ieu-b-4813	AFR	1154.26
HG03370	HG03370	ieu-b-4813	AFR	39.5003
HG03372	HG03372	ieu-b-4813	AFR	-299.938
HG03376	HG03376	ieu-b-4813	AFR	110.587
HG03378	HG03378	ieu-b-4813	AFR	-205.248
HG03380	HG03380	ieu-b-4813	AFR	-66.5256
HG03382	HG03382	ieu-b-4813	AFR	108.211
HG03385	HG03385	ieu-b-4813	AFR	-657.396
HG03388	HG03388	ieu-b-4813	AFR	-300.288
HG03391	HG03391	ieu-b-4813	AFR	-334.99
HG03394	HG03394	ieu-b-4813	AFR	-467.047
HG03397	HG03397	ieu-b-4813	AFR	-795.389
HG03401	HG03401	ieu-b-4813	AFR	26.2354
HG03410	HG03410	ieu-b-4813	AFR	-762.636
HG03419	HG03419	ieu-b-4813	AFR	268.894
HG03428	HG03428	ieu-b-4813	AFR	-47.8581
HG03432	HG03432	ieu-b-4813	AFR	-414.645
HG03433	HG03433	ieu-b-4813	AFR	-175.856
HG03436	HG03436	ieu-b-4813	AFR	246.258
HG03437	HG03437	ieu-b-4813	AFR	-213.621
HG03439	HG03439	ieu-b-4813	AFR	-122.855
HG03442	HG03442	ieu-b-4813	AFR	197.575
HG03445	HG03445	ieu-b-4813	AFR	449.209
HG03446	HG03446	ieu-b-4813	AFR	363.469
HG03449	HG03449	ieu-b-4813	AFR	-155.301
HG03451	HG03451	ieu-b-4813	AFR	-1029.52
HG03452	HG03452	ieu-b-4813	AFR	87.9613
HG03455	HG03455	ieu-b-4813	AFR	-978.042
HG03457	HG03457	ieu-b-4813	AFR	-657.875
HG03458	HG03458	ieu-b-4813	AFR	269.197
HG03460	HG03460	ieu-b-4813	AFR	227.359
HG03461	HG03461	ieu-b-4813	AFR	-482.684
HG03464	HG03464	ieu-b-4813	AFR	-61.2409
HG03469	HG03469	ieu-b-4813	AFR	-748.554
HG03470	HG03470	ieu-b-4813	AFR	61.7558
HG03472	HG03472	ieu-b-4813	AFR	-361.968
HG03473	HG03473	ieu-b-4813	AFR	233.976
HG03476	HG03476	ieu-b-4813	AFR	-269.646
HG03478	HG03478	ieu-b-4813	AFR	-1207.79
HG03479	HG03479	ieu-b-4813	AFR	-193.387
HG03484	HG03484	ieu-b-4813	AFR	-444.713
HG03485	HG03485	ieu-b-4813	AFR	115.676
HG03499	HG03499	ieu-b-4813	AFR	-471.153
HG03511	HG03511	ieu-b-4813	AFR	387.829
HG03514	HG03514	ieu-b-4813	AFR	157.263
HG03515	HG03515	ieu-b-4813	AFR	-334.565
HG03517	HG03517	ieu-b-4813	AFR	173.393
HG03518	HG03518	ieu-b-4813	AFR	218.836
HG03520	HG03520	ieu-b-4813	AFR	-191.98
HG03521	HG03521	ieu-b-4813	AFR	-2.14592
HG03538	HG03538	ieu-b-4813	AFR	-353.978
HG03539	HG03539	ieu-b-4813	AFR	14.009
HG03547	HG03547	ieu-b-4813	AFR	-427.91
HG03548	HG03548	ieu-b-4813	AFR	474.95
HG03556	HG03556	ieu-b-4813	AFR	46.5463
HG03557	HG03557	ieu-b-4813	AFR	-511.009
HG03558	HG03558	ieu-b-4813	AFR	-424.957
HG03559	HG03559	ieu-b-4813	AFR	-942.9
HG03563	HG03563	ieu-b-4813	AFR	-36.8605
HG03565	HG03565	ieu-b-4813	AFR	31.8078
HG03567	HG03567	ieu-b-4813	AFR	-642.206
HG03571	HG03571	ieu-b-4813	AFR	-13.7986
HG03572	HG03572	ieu-b-4813	AFR	-210.935
HG03575	HG03575	ieu-b-4813	AFR	235.672
HG03577	HG03577	ieu-b-4813	AFR	-747.936
HG03578	HG03578	ieu-b-4813	AFR	-647.405
HG03583	HG03583	ieu-b-4813	AFR	400.439
NA18486	NA18486	ieu-b-4813	AFR	252.339
NA18488	NA18488	ieu-b-4813	AFR	155.825
NA18489	NA18489	ieu-b-4813	AFR	436.444
NA18498	NA18498	ieu-b-4813	AFR	263.673
NA18499	NA18499	ieu-b-4813	AFR	33.5393
NA18501	NA18501	ieu-b-4813	AFR	644.865
NA18502	NA18502	ieu-b-4813	AFR	-159.271
NA18504	NA18504	ieu-b-4813	AFR	814.561
NA18505	NA18505	ieu-b-4813	AFR	207.733
NA18507	NA18507	ieu-b-4813	AFR	-655.741
NA18508	NA18508	ieu-b-4813	AFR	-658.134
NA18510	NA18510	ieu-b-4813	AFR	320.487
NA18511	NA18511	ieu-b-4813	AFR	178.075
NA18516	NA18516	ieu-b-4813	AFR	336.847
NA18517	NA18517	ieu-b-4813	AFR	477.968
NA18519	NA18519	ieu-b-4813	AFR	301.354
NA18520	NA18520	ieu-b-4813	AFR	-244.716
NA18522	NA18522	ieu-b-4813	AFR	-56.3749
NA18523	NA18523	ieu-b-4813	AFR	400.191
NA18853	NA18853	ieu-b-4813	AFR	385.008
NA18856	NA18856	ieu-b-4813	AFR	-776.982
NA18858	NA18858	ieu-b-4813	AFR	340.251
NA18861	NA18861	ieu-b-4813	AFR	689.117
NA18864	NA18864	ieu-b-4813	AFR	-168.258
NA18865	NA18865	ieu-b-4813	AFR	176.658
NA18867	NA18867	ieu-b-4813	AFR	88.6133
NA18868	NA18868	ieu-b-4813	AFR	-922.114
NA18870	NA18870	ieu-b-4813	AFR	-732.823
NA18871	NA18871	ieu-b-4813	AFR	738.646
