FID	IID	Trait	Pop	PGS		
HG03078	HG03078	ieu-b-4813	AFR	750.054	MSL	AFR
HG03079	HG03079	ieu-b-4813	AFR	-402.641	MSL	AFR
HG03081	HG03081	ieu-b-4813	AFR	584.877	MSL	AFR
HG03082	HG03082	ieu-b-4813	AFR	119.321	MSL	AFR
HG03084	HG03084	ieu-b-4813	AFR	369.454	MSL	AFR
HG03085	HG03085	ieu-b-4813	AFR	-448.686	MSL	AFR
HG03086	HG03086	ieu-b-4813	AFR	-186.524	MSL	AFR
HG03088	HG03088	ieu-b-4813	AFR	96.3031	MSL	AFR
HG03091	HG03091	ieu-b-4813	AFR	463.083	MSL	AFR
HG03095	HG03095	ieu-b-4813	AFR	225.074	MSL	AFR
HG03096	HG03096	ieu-b-4813	AFR	-164.815	MSL	AFR
HG03097	HG03097	ieu-b-4813	AFR	-235.407	MSL	AFR
HG03099	HG03099	ieu-b-4813	AFR	-234.076	ESN	AFR
HG03100	HG03100	ieu-b-4813	AFR	564.227	ESN	AFR
HG03103	HG03103	ieu-b-4813	AFR	378.649	ESN	AFR
HG03105	HG03105	ieu-b-4813	AFR	353.733	ESN	AFR
HG03108	HG03108	ieu-b-4813	AFR	599.855	ESN	AFR
HG03109	HG03109	ieu-b-4813	AFR	127.29	ESN	AFR
HG03111	HG03111	ieu-b-4813	AFR	-1122.38	ESN	AFR
HG03112	HG03112	ieu-b-4813	AFR	39.4428	ESN	AFR
HG03114	HG03114	ieu-b-4813	AFR	370.411	ESN	AFR
HG03115	HG03115	ieu-b-4813	AFR	7.45776	ESN	AFR
HG03117	HG03117	ieu-b-4813	AFR	-664.452	ESN	AFR
HG03118	HG03118	ieu-b-4813	AFR	95.2295	ESN	AFR
HG03120	HG03120	ieu-b-4813	AFR	1159.1	ESN	AFR
HG03121	HG03121	ieu-b-4813	AFR	-385.003	ESN	AFR
HG03123	HG03123	ieu-b-4813	AFR	-272.949	ESN	AFR
HG03124	HG03124	ieu-b-4813	AFR	-1006.6	ESN	AFR
HG03126	HG03126	ieu-b-4813	AFR	79.8468	ESN	AFR
HG03127	HG03127	ieu-b-4813	AFR	-768.945	ESN	AFR
HG03129	HG03129	ieu-b-4813	AFR	263.487	ESN	AFR
HG03130	HG03130	ieu-b-4813	AFR	818.539	ESN	AFR
HG03132	HG03132	ieu-b-4813	AFR	-969.985	ESN	AFR
HG03133	HG03133	ieu-b-4813	AFR	-303.784	ESN	AFR
HG03135	HG03135	ieu-b-4813	AFR	-674.342	ESN	AFR
HG03136	HG03136	ieu-b-4813	AFR	1094.79	ESN	AFR
HG03139	HG03139	ieu-b-4813	AFR	43.7977	ESN	AFR
HG03157	HG03157	ieu-b-4813	AFR	85.0961	ESN	AFR
HG03159	HG03159	ieu-b-4813	AFR	487.616	ESN	AFR
HG03160	HG03160	ieu-b-4813	AFR	-93.3247	ESN	AFR
HG03162	HG03162	ieu-b-4813	AFR	-102.385	ESN	AFR
HG03163	HG03163	ieu-b-4813	AFR	10.606	ESN	AFR
HG03166	HG03166	ieu-b-4813	AFR	81.6762	ESN	AFR
HG03168	HG03168	ieu-b-4813	AFR	-603.029	ESN	AFR
HG03169	HG03169	ieu-b-4813	AFR	399.756	ESN	AFR
HG03172	HG03172	ieu-b-4813	AFR	775.943	ESN	AFR
HG03175	HG03175	ieu-b-4813	AFR	1193.85	ESN	AFR
HG03189	HG03189	ieu-b-4813	AFR	46.9236	ESN	AFR
HG03190	HG03190	ieu-b-4813	AFR	-517.002	ESN	AFR
HG03193	HG03193	ieu-b-4813	AFR	550.12	ESN	AFR
HG03195	HG03195	ieu-b-4813	AFR	1008.08	ESN	AFR
HG03196	HG03196	ieu-b-4813	AFR	-596.712	ESN	AFR
HG03198	HG03198	ieu-b-4813	AFR	139.254	ESN	AFR
HG03199	HG03199	ieu-b-4813	AFR	-346.791	ESN	AFR
HG03202	HG03202	ieu-b-4813	AFR	282.79	ESN	AFR
HG03209	HG03209	ieu-b-4813	AFR	656.017	MSL	AFR
HG03212	HG03212	ieu-b-4813	AFR	188.213	MSL	AFR
HG03224	HG03224	ieu-b-4813	AFR	-377.575	MSL	AFR
HG03225	HG03225	ieu-b-4813	AFR	-141.098	MSL	AFR
HG03240	HG03240	ieu-b-4813	AFR	230.095	GWD	AFR
HG03241	HG03241	ieu-b-4813	AFR	-997.472	GWD	AFR
HG03246	HG03246	ieu-b-4813	AFR	-684.536	GWD	AFR
HG03247	HG03247	ieu-b-4813	AFR	-973.249	GWD	AFR
HG03258	HG03258	ieu-b-4813	AFR	367.704	GWD	AFR
HG03259	HG03259	ieu-b-4813	AFR	-537.126	GWD	AFR
HG03265	HG03265	ieu-b-4813	AFR	-178.443	ESN	AFR
HG03267	HG03267	ieu-b-4813	AFR	-778.212	ESN	AFR
HG03268	HG03268	ieu-b-4813	AFR	795.077	ESN	AFR
HG03270	HG03270	ieu-b-4813	AFR	450.044	ESN	AFR
HG03271	HG03271	ieu-b-4813	AFR	678.314	ESN	AFR
HG03279	HG03279	ieu-b-4813	AFR	226.259	ESN	AFR
HG03280	HG03280	ieu-b-4813	AFR	-151.552	ESN	AFR
HG03291	HG03291	ieu-b-4813	AFR	225.541	ESN	AFR
HG03294	HG03294	ieu-b-4813	AFR	-352.158	ESN	AFR
HG03295	HG03295	ieu-b-4813	AFR	45.1575	ESN	AFR
HG03297	HG03297	ieu-b-4813	AFR	-340.12	ESN	AFR
HG03298	HG03298	ieu-b-4813	AFR	111.534	ESN	AFR
HG03300	HG03300	ieu-b-4813	AFR	672.758	ESN	AFR
HG03301	HG03301	ieu-b-4813	AFR	172.429	ESN	AFR
HG03303	HG03303	ieu-b-4813	AFR	5.71938	ESN	AFR
HG03304	HG03304	ieu-b-4813	AFR	-135.419	ESN	AFR
HG03311	HG03311	ieu-b-4813	AFR	-132.557	ESN	AFR
HG03313	HG03313	ieu-b-4813	AFR	218.85	ESN	AFR
HG03342	HG03342	ieu-b-4813	AFR	623.651	ESN	AFR
HG03343	HG03343	ieu-b-4813	AFR	716.841	ESN	AFR
HG03351	HG03351	ieu-b-4813	AFR	625.127	ESN	AFR
HG03352	HG03352	ieu-b-4813	AFR	18.4546	ESN	AFR
HG03354	HG03354	ieu-b-4813	AFR	-568.976	ESN	AFR
HG03363	HG03363	ieu-b-4813	AFR	-335.26	ESN	AFR
HG03366	HG03366	ieu-b-4813	AFR	234.239	ESN	AFR
HG03367	HG03367	ieu-b-4813	AFR	-227.421	ESN	AFR
HG03369	HG03369	ieu-b-4813	AFR	1154.26	ESN	AFR
HG03370	HG03370	ieu-b-4813	AFR	39.5003	ESN	AFR
HG03372	HG03372	ieu-b-4813	AFR	-299.938	ESN	AFR
HG03376	HG03376	ieu-b-4813	AFR	110.587	MSL	AFR
HG03378	HG03378	ieu-b-4813	AFR	-205.248	MSL	AFR
HG03380	HG03380	ieu-b-4813	AFR	-66.5256	MSL	AFR
HG03382	HG03382	ieu-b-4813	AFR	108.211	MSL	AFR
HG03385	HG03385	ieu-b-4813	AFR	-657.396	MSL	AFR
HG03388	HG03388	ieu-b-4813	AFR	-300.288	MSL	AFR
HG03391	HG03391	ieu-b-4813	AFR	-334.99	MSL	AFR
HG03394	HG03394	ieu-b-4813	AFR	-467.047	MSL	AFR
HG03397	HG03397	ieu-b-4813	AFR	-795.389	MSL	AFR
HG03401	HG03401	ieu-b-4813	AFR	26.2354	MSL	AFR
HG03410	HG03410	ieu-b-4813	AFR	-762.636	MSL	AFR
HG03419	HG03419	ieu-b-4813	AFR	268.894	MSL	AFR
HG03428	HG03428	ieu-b-4813	AFR	-47.8581	MSL	AFR
HG03432	HG03432	ieu-b-4813	AFR	-414.645	MSL	AFR
HG03433	HG03433	ieu-b-4813	AFR	-175.856	MSL	AFR
HG03436	HG03436	ieu-b-4813	AFR	246.258	MSL	AFR
HG03437	HG03437	ieu-b-4813	AFR	-213.621	MSL	AFR
HG03439	HG03439	ieu-b-4813	AFR	-122.855	MSL	AFR
HG03442	HG03442	ieu-b-4813	AFR	197.575	MSL	AFR
HG03445	HG03445	ieu-b-4813	AFR	449.209	MSL	AFR
HG03446	HG03446	ieu-b-4813	AFR	363.469	MSL	AFR
HG03449	HG03449	ieu-b-4813	AFR	-155.301	MSL	AFR
HG03451	HG03451	ieu-b-4813	AFR	-1029.52	MSL	AFR
HG03452	HG03452	ieu-b-4813	AFR	87.9613	MSL	AFR
HG03455	HG03455	ieu-b-4813	AFR	-978.042	MSL	AFR
HG03457	HG03457	ieu-b-4813	AFR	-657.875	MSL	AFR
HG03458	HG03458	ieu-b-4813	AFR	269.197	MSL	AFR
HG03460	HG03460	ieu-b-4813	AFR	227.359	MSL	AFR
HG03461	HG03461	ieu-b-4813	AFR	-482.684	MSL	AFR
HG03464	HG03464	ieu-b-4813	AFR	-61.2409	MSL	AFR
HG03469	HG03469	ieu-b-4813	AFR	-748.554	MSL	AFR
HG03470	HG03470	ieu-b-4813	AFR	61.7558	MSL	AFR
HG03472	HG03472	ieu-b-4813	AFR	-361.968	MSL	AFR
HG03473	HG03473	ieu-b-4813	AFR	233.976	MSL	AFR
HG03476	HG03476	ieu-b-4813	AFR	-269.646	MSL	AFR
HG03478	HG03478	ieu-b-4813	AFR	-1207.79	MSL	AFR
HG03479	HG03479	ieu-b-4813	AFR	-193.387	MSL	AFR
HG03484	HG03484	ieu-b-4813	AFR	-444.713	MSL	AFR
HG03485	HG03485	ieu-b-4813	AFR	115.676	MSL	AFR
HG03499	HG03499	ieu-b-4813	AFR	-471.153	ESN	AFR
HG03511	HG03511	ieu-b-4813	AFR	387.829	ESN	AFR
HG03514	HG03514	ieu-b-4813	AFR	157.263	ESN	AFR
HG03515	HG03515	ieu-b-4813	AFR	-334.565	ESN	AFR
HG03517	HG03517	ieu-b-4813	AFR	173.393	ESN	AFR
HG03518	HG03518	ieu-b-4813	AFR	218.836	ESN	AFR
HG03520	HG03520	ieu-b-4813	AFR	-191.98	ESN	AFR
HG03521	HG03521	ieu-b-4813	AFR	-2.14592	ESN	AFR
HG03538	HG03538	ieu-b-4813	AFR	-353.978	GWD	AFR
HG03539	HG03539	ieu-b-4813	AFR	14.009	GWD	AFR
HG03547	HG03547	ieu-b-4813	AFR	-427.91	MSL	AFR
HG03548	HG03548	ieu-b-4813	AFR	474.95	MSL	AFR
HG03556	HG03556	ieu-b-4813	AFR	46.5463	MSL	AFR
HG03557	HG03557	ieu-b-4813	AFR	-511.009	MSL	AFR
HG03558	HG03558	ieu-b-4813	AFR	-424.957	MSL	AFR
HG03559	HG03559	ieu-b-4813	AFR	-942.9	MSL	AFR
HG03563	HG03563	ieu-b-4813	AFR	-36.8605	MSL	AFR
HG03565	HG03565	ieu-b-4813	AFR	31.8078	MSL	AFR
HG03567	HG03567	ieu-b-4813	AFR	-642.206	MSL	AFR
